Murder,Assault,UrbanPop,Rape,State,TotalArrests,Region
13.2,236,58,21.2,Alabama,270.4,East South Central
10.0,263,48,44.5,Alaska,317.5,Pacific
8.1,294,80,31.0,Arizona,333.1,Mountain
8.8,190,50,19.5,Arkansas,218.3,West South Central
9.0,276,91,40.6,California,325.6,Pacific
7.9,204,78,38.7,Colorado,250.6,Mountain
3.3,110,77,11.1,Connecticut,124.4,New England
5.9,238,72,15.8,Delaware,259.7,South Atlantic
15.4,335,80,31.9,Florida,382.3,South Atlantic
17.4,211,60,25.8,Georgia,254.2,South Atlantic
5.3,46,83,20.2,Hawaii,71.5,Pacific
2.6,120,54,14.2,Idaho,136.8,Mountain
10.4,249,83,24.0,Illinois,283.4,East North Central
7.2,113,65,21.0,Indiana,141.2,East North Central
2.2,56,57,11.3,Iowa,69.5,West North Central
6.0,115,66,18.0,Kansas,139.0,West North Central
9.7,109,52,16.3,Kentucky,135.0,East South Central
15.4,249,66,22.2,Louisiana,286.6,West South Central
2.1,83,51,7.8,Maine,92.9,New England
11.3,300,67,27.8,Maryland,339.1,South Atlantic
4.4,149,85,16.3,Massachusetts,169.7,New England
12.1,255,74,35.1,Michigan,302.2,East North Central
2.7,72,66,14.9,Minnesota,89.6,West North Central
16.1,259,44,17.1,Mississippi,292.2,East South Central
9.0,178,70,28.2,Missouri,215.2,West North Central
6.0,109,53,16.4,Montana,131.4,Mountain
4.3,102,62,16.5,Nebraska,122.8,West North Central
12.2,252,81,46.0,Nevada,310.2,Mountain
2.1,57,56,9.5,New Hampshire,68.6,New England
7.4,159,89,18.8,New Jersey,185.2,Middle Atlantic
11.4,285,70,32.1,New Mexico,328.5,Mountain
11.1,254,86,26.1,New York,291.2,Middle Atlantic
13.0,337,45,16.1,North Carolina,366.1,South Atlantic
0.8,45,44,7.3,North Dakota,53.1,West North Central
7.3,120,75,21.4,Ohio,148.7,East North Central
6.6,151,68,20.0,Oklahoma,177.6,West South Central
4.9,159,67,29.3,Oregon,193.2,Pacific
6.3,106,72,14.9,Pennsylvania,127.2,Middle Atlantic
3.4,174,87,8.3,Rhode Island,185.7,New England
14.4,279,48,22.5,South Carolina,315.9,South Atlantic
3.8,86,45,12.8,South Dakota,102.6,West North Central
13.2,188,59,26.9,Tennessee,228.1,East South Central
12.7,201,80,25.5,Texas,239.2,West South Central
3.2,120,80,22.9,Utah,146.1,Mountain
2.2,48,32,11.2,Vermont,61.4,New England
8.5,156,63,20.7,Virginia,185.2,South Atlantic
4.0,145,73,26.2,Washington,175.2,Pacific
5.7,81,39,9.3,West Virginia,96.0,South Atlantic
2.6,53,66,10.8,Wisconsin,66.4,East North Central
6.8,161,60,15.6,Wyoming,183.4,Mountain
